Rule   (Support, Confidence) 
3 -> 6  (84.2466%, 95.3488%)
6 -> 3  (84.2466%, 95.1644%)
5 -> 6  (82.1918%, 97.7597%)
6 -> 5  (82.1918%, 92.8433%)
3 -> 5  (80.4795%, 91.0853%)
5 -> 3  (80.4795%, 95.723%)
3 -> 5,6  (79.1096%, 89.5349%)
5 -> 3,6  (79.1096%, 94.0937%)
6 -> 3,5  (79.1096%, 89.3617%)
3,5 -> 6  (79.1096%, 98.2979%)
3,6 -> 5  (79.1096%, 93.9024%)
5,6 -> 3  (79.1096%, 96.25%)
6 -> 197  (74.4863%, 84.1393%)
197 -> 6  (74.4863%, 98.8636%)
5 -> 197  (74.3151%, 88.391%)
197 -> 5  (74.3151%, 98.6364%)
5 -> 6,197  (73.9726%, 87.9837%)
6 -> 5,197  (73.9726%, 83.559%)
197 -> 5,6  (73.9726%, 98.1818%)
5,6 -> 197  (73.9726%, 90%)
5,197 -> 6  (73.9726%, 99.5392%)
6,197 -> 5  (73.9726%, 99.3103%)
3 -> 197  (72.9452%, 82.5581%)
197 -> 3  (72.9452%, 96.8182%)
5 -> 192  (72.9452%, 86.7617%)
192 -> 5  (72.9452%, 97.2603%)
6 -> 192  (72.774%, 82.205%)
192 -> 6  (72.774%, 97.032%)
3 -> 192  (72.4315%, 81.9767%)
192 -> 3  (72.4315%, 96.5753%)
5 -> 6,192  (72.4315%, 86.1507%)
6 -> 5,192  (72.4315%, 81.8182%)
192 -> 5,6  (72.4315%, 96.5753%)
5,6 -> 192  (72.4315%, 88.125%)
5,192 -> 6  (72.4315%, 99.2958%)
6,192 -> 5  (72.4315%, 99.5294%)
3 -> 5,192  (72.089%, 81.5891%)
5 -> 3,192  (72.089%, 85.7434%)
192 -> 3,5  (72.089%, 96.1187%)
3,5 -> 192  (72.089%, 89.5745%)
3,192 -> 5  (72.089%, 99.5272%)
5,192 -> 3  (72.089%, 98.8263%)
3 -> 5,197  (72.089%, 81.5891%)
5 -> 3,197  (72.089%, 85.7434%)
197 -> 3,5  (72.089%, 95.6818%)
3,5 -> 197  (72.089%, 89.5745%)
3,197 -> 5  (72.089%, 98.8263%)
5,197 -> 3  (72.089%, 97.0046%)
3 -> 6,197  (72.089%, 81.5891%)
6 -> 3,197  (72.089%, 81.4313%)
197 -> 3,6  (72.089%, 95.6818%)
3,6 -> 197  (72.089%, 85.5691%)
3,197 -> 6  (72.089%, 98.8263%)
6,197 -> 3  (72.089%, 96.7816%)
3 -> 6,192  (71.9178%, 81.3953%)
6 -> 3,192  (71.9178%, 81.2379%)
192 -> 3,6  (71.9178%, 95.8904%)
3,6 -> 192  (71.9178%, 85.3659%)
3,192 -> 6  (71.9178%, 99.2908%)
6,192 -> 3  (71.9178%, 98.8235%)
3 -> 5,6,197  (71.7466%, 81.2016%)
5 -> 3,6,197  (71.7466%, 85.336%)
6 -> 3,5,197  (71.7466%, 81.0445%)
197 -> 3,5,6  (71.7466%, 95.2273%)
3,5 -> 6,197  (71.7466%, 89.1489%)
3,6 -> 5,197  (71.7466%, 85.1626%)
3,197 -> 5,6  (71.7466%, 98.3568%)
5,6 -> 3,197  (71.7466%, 87.2917%)
5,197 -> 3,6  (71.7466%, 96.5438%)
6,197 -> 3,5  (71.7466%, 96.3218%)
3,5,6 -> 197  (71.7466%, 90.6926%)
3,5,197 -> 6  (71.7466%, 99.5249%)
3,6,197 -> 5  (71.7466%, 99.5249%)
5,6,197 -> 3  (71.7466%, 96.9907%)
3 -> 5,6,192  (71.5753%, 81.0078%)
5 -> 3,6,192  (71.5753%, 85.1324%)
6 -> 3,5,192  (71.5753%, 80.8511%)
192 -> 3,5,6  (71.5753%, 95.4338%)
3,5 -> 6,192  (71.5753%, 88.9362%)
3,6 -> 5,192  (71.5753%, 84.9593%)
3,192 -> 5,6  (71.5753%, 98.818%)
5,6 -> 3,192  (71.5753%, 87.0833%)
5,192 -> 3,6  (71.5753%, 98.1221%)
6,192 -> 3,5  (71.5753%, 98.3529%)
3,5,6 -> 192  (71.5753%, 90.4762%)
3,5,192 -> 6  (71.5753%, 99.2874%)
3,6,192 -> 5  (71.5753%, 99.5238%)
5,6,192 -> 3  (71.5753%, 98.818%)
6 -> 33  (69.5205%, 78.53%)
33 -> 6  (69.5205%, 99.5098%)
5 -> 33  (69.0068%, 82.0774%)
33 -> 5  (69.0068%, 98.7745%)
192 -> 197  (69.0068%, 92.0091%)
197 -> 192  (69.0068%, 91.5909%)
5 -> 192,197  (69.0068%, 82.0774%)
192 -> 5,197  (69.0068%, 92.0091%)
197 -> 5,192  (69.0068%, 91.5909%)
5,192 -> 197  (69.0068%, 94.6009%)
5,197 -> 192  (69.0068%, 92.8571%)
192,197 -> 5  (69.0068%, 100%)
5 -> 6,33  (68.8356%, 81.8737%)
6 -> 5,33  (68.8356%, 77.7563%)
33 -> 5,6  (68.8356%, 98.5294%)
5,6 -> 33  (68.8356%, 83.75%)
5,33 -> 6  (68.8356%, 99.7519%)
6,33 -> 5  (68.8356%, 99.0148%)
6 -> 192,197  (68.8356%, 77.7563%)
192 -> 6,197  (68.8356%, 91.7808%)
197 -> 6,192  (68.8356%, 91.3636%)
6,192 -> 197  (68.8356%, 94.5882%)
6,197 -> 192  (68.8356%, 92.4138%)
192,197 -> 6  (68.8356%, 99.7519%)
3 -> 33  (68.6644%, 77.7132%)
33 -> 3  (68.6644%, 98.2843%)
3 -> 6,33  (68.4932%, 77.5194%)
6 -> 3,33  (68.4932%, 77.3694%)
33 -> 3,6  (68.4932%, 98.0392%)
3,6 -> 33  (68.4932%, 81.3008%)
3,33 -> 6  (68.4932%, 99.7506%)
6,33 -> 3  (68.4932%, 98.5222%)
3 -> 192,197  (68.3219%, 77.3256%)
192 -> 3,197  (68.3219%, 91.0959%)
197 -> 3,192  (68.3219%, 90.6818%)
3,192 -> 197  (68.3219%, 94.3262%)
3,197 -> 192  (68.3219%, 93.662%)
192,197 -> 3  (68.3219%, 99.0074%)
3 -> 5,192,197  (68.3219%, 77.3256%)
5 -> 3,192,197  (68.3219%, 81.2627%)
192 -> 3,5,197  (68.3219%, 91.0959%)
197 -> 3,5,192  (68.3219%, 90.6818%)
3,5 -> 192,197  (68.3219%, 84.8936%)
3,192 -> 5,197  (68.3219%, 94.3262%)
3,197 -> 5,192  (68.3219%, 93.662%)
5,192 -> 3,197  (68.3219%, 93.662%)
5,197 -> 3,192  (68.3219%, 91.9355%)
192,197 -> 3,5  (68.3219%, 99.0074%)
3,5,192 -> 197  (68.3219%, 94.7743%)
3,5,197 -> 192  (68.3219%, 94.7743%)
3,192,197 -> 5  (68.3219%, 100%)
5,192,197 -> 3  (68.3219%, 99.0074%)
3 -> 5,33  (68.1507%, 77.1318%)
5 -> 3,33  (68.1507%, 81.0591%)
33 -> 3,5  (68.1507%, 97.549%)
3,5 -> 33  (68.1507%, 84.6809%)
3,33 -> 5  (68.1507%, 99.2519%)
5,33 -> 3  (68.1507%, 98.7593%)
3 -> 6,192,197  (68.1507%, 77.1318%)
6 -> 3,192,197  (68.1507%, 76.9826%)
192 -> 3,6,197  (68.1507%, 90.8676%)
197 -> 3,6,192  (68.1507%, 90.4545%)
3,6 -> 192,197  (68.1507%, 80.8943%)
3,192 -> 6,197  (68.1507%, 94.0898%)
3,197 -> 6,192  (68.1507%, 93.4272%)
6,192 -> 3,197  (68.1507%, 93.6471%)
6,197 -> 3,192  (68.1507%, 91.4943%)
192,197 -> 3,6  (68.1507%, 98.7593%)
3,6,192 -> 197  (68.1507%, 94.7619%)
3,6,197 -> 192  (68.1507%, 94.5368%)
3,192,197 -> 6  (68.1507%, 99.7494%)
6,192,197 -> 3  (68.1507%, 99.005%)
6 -> 45  (67.9795%, 76.7892%)
45 -> 6  (67.9795%, 98.0247%)
3 -> 5,6,33  (67.9795%, 76.938%)
5 -> 3,6,33  (67.9795%, 80.8554%)
6 -> 3,5,33  (67.9795%, 76.7892%)
33 -> 3,5,6  (67.9795%, 97.3039%)
3,5 -> 6,33  (67.9795%, 84.4681%)
3,6 -> 5,33  (67.9795%, 80.6911%)
3,33 -> 5,6  (67.9795%, 99.0025%)
5,6 -> 3,33  (67.9795%, 82.7083%)
5,33 -> 3,6  (67.9795%, 98.5112%)
6,33 -> 3,5  (67.9795%, 97.7833%)
3,5,6 -> 33  (67.9795%, 85.9307%)
3,5,33 -> 6  (67.9795%, 99.7487%)
3,6,33 -> 5  (67.9795%, 99.25%)
5,6,33 -> 3  (67.9795%, 98.7562%)
5 -> 91  (67.4658%, 80.2444%)
91 -> 5  (67.4658%, 95.3995%)
3 -> 45  (67.2945%, 76.1628%)
45 -> 3  (67.2945%, 97.037%)
6 -> 91  (67.2945%, 76.0155%)
91 -> 6  (67.2945%, 95.1574%)
91 -> 192  (67.2945%, 95.1574%)
192 -> 91  (67.2945%, 89.726%)
3 -> 91  (67.1233%, 75.969%)
91 -> 3  (67.1233%, 94.9153%)
5 -> 45  (67.1233%, 79.8371%)
45 -> 5  (67.1233%, 96.7901%)
3 -> 6,45  (66.6096%, 75.3876%)
6 -> 3,45  (66.6096%, 75.2418%)
45 -> 3,6  (66.6096%, 96.0494%)
3,6 -> 45  (66.6096%, 79.065%)
3,45 -> 6  (66.6096%, 98.9822%)
6,45 -> 3  (66.6096%, 97.9849%)
5 -> 6,45  (66.6096%, 79.2261%)
6 -> 5,45  (66.6096%, 75.2418%)
45 -> 5,6  (66.6096%, 96.0494%)
5,6 -> 45  (66.6096%, 81.0417%)
5,45 -> 6  (66.6096%, 99.2347%)
6,45 -> 5  (66.6096%, 97.9849%)
5 -> 6,91  (66.6096%, 79.2261%)
6 -> 5,91  (66.6096%, 75.2418%)
91 -> 5,6  (66.6096%, 94.1889%)
5,6 -> 91  (66.6096%, 81.0417%)
5,91 -> 6  (66.6096%, 98.731%)
6,91 -> 5  (66.6096%, 98.9822%)
91 -> 197  (66.2671%, 93.7046%)
197 -> 91  (66.2671%, 87.9545%)
3 -> 6,91  (66.2671%, 75%)
6 -> 3,91  (66.2671%, 74.8549%)
91 -> 3,6  (66.2671%, 93.7046%)
3,6 -> 91  (66.2671%, 78.6585%)
3,91 -> 6  (66.2671%, 98.7245%)
6,91 -> 3  (66.2671%, 98.4733%)
3 -> 5,91  (66.0959%, 74.8062%)
5 -> 3,91  (66.0959%, 78.6151%)
91 -> 3,5  (66.0959%, 93.4625%)
3,5 -> 91  (66.0959%, 82.1277%)
3,91 -> 5  (66.0959%, 98.4694%)
5,91 -> 3  (66.0959%, 97.9695%)
5 -> 91,197  (65.9247%, 78.4114%)
91 -> 5,197  (65.9247%, 93.2203%)
197 -> 5,91  (65.9247%, 87.5%)
5,91 -> 197  (65.9247%, 97.7157%)
5,197 -> 91  (65.9247%, 88.7097%)
91,197 -> 5  (65.9247%, 99.4832%)
3 -> 5,45  (65.7534%, 74.4186%)
5 -> 3,45  (65.7534%, 78.2077%)
45 -> 3,5  (65.7534%, 94.8148%)
3,5 -> 45  (65.7534%, 81.7021%)
3,45 -> 5  (65.7534%, 97.7099%)
5,45 -> 3  (65.7534%, 97.9592%)
6 -> 91,197  (65.7534%, 74.2747%)
91 -> 6,197  (65.7534%, 92.9782%)
197 -> 6,91  (65.7534%, 87.2727%)
6,91 -> 197  (65.7534%, 97.7099%)
6,197 -> 91  (65.7534%, 88.2759%)
91,197 -> 6  (65.7534%, 99.2248%)
3 -> 5,6,91  (65.5822%, 74.2248%)
5 -> 3,6,91  (65.5822%, 78.0041%)
6 -> 3,5,91  (65.5822%, 74.0812%)
91 -> 3,5,6  (65.5822%, 92.7361%)
3,5 -> 6,91  (65.5822%, 81.4894%)
3,6 -> 5,91  (65.5822%, 77.8455%)
3,91 -> 5,6  (65.5822%, 97.7041%)
5,6 -> 3,91  (65.5822%, 79.7917%)
5,91 -> 3,6  (65.5822%, 97.2081%)
6,91 -> 3,5  (65.5822%, 97.4555%)
3,5,6 -> 91  (65.5822%, 82.9004%)
3,5,91 -> 6  (65.5822%, 99.2228%)
3,6,91 -> 5  (65.5822%, 98.9664%)
5,6,91 -> 3  (65.5822%, 98.4576%)
33 -> 197  (65.411%, 93.6275%)
197 -> 33  (65.411%, 86.8182%)
3 -> 91,192  (65.411%, 74.031%)
91 -> 3,192  (65.411%, 92.4939%)
192 -> 3,91  (65.411%, 87.2146%)
3,91 -> 192  (65.411%, 97.449%)
3,192 -> 91  (65.411%, 90.3073%)
91,192 -> 3  (65.411%, 97.201%)
5 -> 91,192  (65.411%, 77.8004%)
91 -> 5,192  (65.411%, 92.4939%)
192 -> 5,91  (65.411%, 87.2146%)
5,91 -> 192  (65.411%, 96.9543%)
5,192 -> 91  (65.411%, 89.6714%)
91,192 -> 5  (65.411%, 97.201%)
6 -> 33,197  (65.411%, 73.8878%)
33 -> 6,197  (65.411%, 93.6275%)
197 -> 6,33  (65.411%, 86.8182%)
6,33 -> 197  (65.411%, 94.0887%)
6,197 -> 33  (65.411%, 87.8161%)
33,197 -> 6  (65.411%, 100%)
6 -> 91,192  (65.411%, 73.8878%)
91 -> 6,192  (65.411%, 92.4939%)
192 -> 6,91  (65.411%, 87.2146%)
6,91 -> 192  (65.411%, 97.201%)
6,192 -> 91  (65.411%, 89.8824%)
91,192 -> 6  (65.411%, 97.201%)
3 -> 91,197  (65.2397%, 73.8372%)
91 -> 3,197  (65.2397%, 92.2518%)
197 -> 3,91  (65.2397%, 86.5909%)
3,91 -> 197  (65.2397%, 97.1939%)
3,197 -> 91  (65.2397%, 89.4366%)
91,197 -> 3  (65.2397%, 98.4496%)
5 -> 33,197  (65.2397%, 77.5967%)
33 -> 5,197  (65.2397%, 93.3824%)
197 -> 5,33  (65.2397%, 86.5909%)
5,33 -> 197  (65.2397%, 94.5409%)
5,197 -> 33  (65.2397%, 87.788%)
33,197 -> 5  (65.2397%, 99.7382%)
3 -> 5,6,45  (65.2397%, 73.8372%)
5 -> 3,6,45  (65.2397%, 77.5967%)
6 -> 3,5,45  (65.2397%, 73.6944%)
45 -> 3,5,6  (65.2397%, 94.0741%)
3,5 -> 6,45  (65.2397%, 81.0638%)
3,6 -> 5,45  (65.2397%, 77.439%)
3,45 -> 5,6  (65.2397%, 96.9466%)
5,6 -> 3,45  (65.2397%, 79.375%)
5,45 -> 3,6  (65.2397%, 97.1939%)
6,45 -> 3,5  (65.2397%, 95.9698%)
3,5,6 -> 45  (65.2397%, 82.4675%)
3,5,45 -> 6  (65.2397%, 99.2188%)
3,6,45 -> 5  (65.2397%, 97.9434%)
5,6,45 -> 3  (65.2397%, 97.9434%)
3 -> 5,91,192  (65.0685%, 73.6434%)
5 -> 3,91,192  (65.0685%, 77.3931%)
91 -> 3,5,192  (65.0685%, 92.0097%)
192 -> 3,5,91  (65.0685%, 86.758%)
3,5 -> 91,192  (65.0685%, 80.8511%)
3,91 -> 5,192  (65.0685%, 96.9388%)
3,192 -> 5,91  (65.0685%, 89.8345%)
5,91 -> 3,192  (65.0685%, 96.4467%)
5,192 -> 3,91  (65.0685%, 89.2019%)
91,192 -> 3,5  (65.0685%, 96.6921%)
3,5,91 -> 192  (65.0685%, 98.4456%)
3,5,192 -> 91  (65.0685%, 90.2613%)
3,91,192 -> 5  (65.0685%, 99.4764%)
5,91,192 -> 3  (65.0685%, 99.4764%)
3 -> 6,91,192  (65.0685%, 73.6434%)
6 -> 3,91,192  (65.0685%, 73.501%)
91 -> 3,6,192  (65.0685%, 92.0097%)
192 -> 3,6,91  (65.0685%, 86.758%)
3,6 -> 91,192  (65.0685%, 77.2358%)
3,91 -> 6,192  (65.0685%, 96.9388%)
3,192 -> 6,91  (65.0685%, 89.8345%)
6,91 -> 3,192  (65.0685%, 96.6921%)
6,192 -> 3,91  (65.0685%, 89.4118%)
91,192 -> 3,6  (65.0685%, 96.6921%)
3,6,91 -> 192  (65.0685%, 98.1912%)
3,6,192 -> 91  (65.0685%, 90.4762%)
3,91,192 -> 6  (65.0685%, 99.4764%)
6,91,192 -> 3  (65.0685%, 99.4764%)
3 -> 33,197  (64.8973%, 73.4496%)
33 -> 3,197  (64.8973%, 92.8922%)
197 -> 3,33  (64.8973%, 86.1364%)
3,33 -> 197  (64.8973%, 94.5137%)
3,197 -> 33  (64.8973%, 88.9671%)
33,197 -> 3  (64.8973%, 99.2147%)
3 -> 5,91,197  (64.8973%, 73.4496%)
5 -> 3,91,197  (64.8973%, 77.1894%)
91 -> 3,5,197  (64.8973%, 91.7676%)
197 -> 3,5,91  (64.8973%, 86.1364%)
3,5 -> 91,197  (64.8973%, 80.6383%)
3,91 -> 5,197  (64.8973%, 96.6837%)
3,197 -> 5,91  (64.8973%, 88.9671%)
5,91 -> 3,197  (64.8973%, 96.1929%)
5,197 -> 3,91  (64.8973%, 87.3272%)
91,197 -> 3,5  (64.8973%, 97.9328%)
3,5,91 -> 197  (64.8973%, 98.1865%)
3,5,197 -> 91  (64.8973%, 90.0238%)
3,91,197 -> 5  (64.8973%, 99.4751%)
5,91,197 -> 3  (64.8973%, 98.4416%)
3 -> 6,33,197  (64.8973%, 73.4496%)
6 -> 3,33,197  (64.8973%, 73.3075%)
33 -> 3,6,197  (64.8973%, 92.8922%)
197 -> 3,6,33  (64.8973%, 86.1364%)
3,6 -> 33,197  (64.8973%, 77.0325%)
3,33 -> 6,197  (64.8973%, 94.5137%)
3,197 -> 6,33  (64.8973%, 88.9671%)
6,33 -> 3,197  (64.8973%, 93.3498%)
6,197 -> 3,33  (64.8973%, 87.1264%)
33,197 -> 3,6  (64.8973%, 99.2147%)
3,6,33 -> 197  (64.8973%, 94.75%)
3,6,197 -> 33  (64.8973%, 90.0238%)
3,33,197 -> 6  (64.8973%, 100%)
6,33,197 -> 3  (64.8973%, 99.2147%)
5 -> 125  (64.726%, 76.9857%)
125 -> 5  (64.726%, 98.6945%)
33 -> 192  (64.726%, 92.6471%)
192 -> 33  (64.726%, 86.3014%)
3 -> 5,33,197  (64.726%, 73.2558%)
5 -> 3,33,197  (64.726%, 76.9857%)
33 -> 3,5,197  (64.726%, 92.6471%)
197 -> 3,5,33  (64.726%, 85.9091%)
3,5 -> 33,197  (64.726%, 80.4255%)
3,33 -> 5,197  (64.726%, 94.2643%)
3,197 -> 5,33  (64.726%, 88.7324%)
5,33 -> 3,197  (64.726%, 93.7965%)
5,197 -> 3,33  (64.726%, 87.0968%)
33,197 -> 3,5  (64.726%, 98.9529%)
3,5,33 -> 197  (64.726%, 94.9749%)
3,5,197 -> 33  (64.726%, 89.7862%)
3,33,197 -> 5  (64.726%, 99.7361%)
5,33,197 -> 3  (64.726%, 99.2126%)
3 -> 6,91,197  (64.726%, 73.2558%)
6 -> 3,91,197  (64.726%, 73.1141%)
91 -> 3,6,197  (64.726%, 91.5254%)
197 -> 3,6,91  (64.726%, 85.9091%)
3,6 -> 91,197  (64.726%, 76.8293%)
3,91 -> 6,197  (64.726%, 96.4286%)
3,197 -> 6,91  (64.726%, 88.7324%)
6,91 -> 3,197  (64.726%, 96.1832%)
6,197 -> 3,91  (64.726%, 86.8966%)
91,197 -> 3,6  (64.726%, 97.6744%)
3,6,91 -> 197  (64.726%, 97.6744%)
3,6,197 -> 91  (64.726%, 89.7862%)
3,91,197 -> 6  (64.726%, 99.2126%)
6,91,197 -> 3  (64.726%, 98.4375%)
6 -> 125  (64.5548%, 72.9207%)
125 -> 6  (64.5548%, 98.4334%)
5 -> 33,192  (64.5548%, 76.7821%)
33 -> 5,192  (64.5548%, 92.402%)
192 -> 5,33  (64.5548%, 86.0731%)
5,33 -> 192  (64.5548%, 93.5484%)
5,192 -> 33  (64.5548%, 88.4977%)
33,192 -> 5  (64.5548%, 99.7354%)
6 -> 33,192  (64.5548%, 72.9207%)
33 -> 6,192  (64.5548%, 92.402%)
192 -> 6,33  (64.5548%, 86.0731%)
6,33 -> 192  (64.5548%, 92.8571%)
6,192 -> 33  (64.5548%, 88.7059%)
33,192 -> 6  (64.5548%, 99.7354%)
91 -> 192,197  (64.5548%, 91.2833%)
192 -> 91,197  (64.5548%, 86.0731%)
197 -> 91,192  (64.5548%, 85.6818%)
91,192 -> 197  (64.5548%, 95.9288%)
91,197 -> 192  (64.5548%, 97.416%)
192,197 -> 91  (64.5548%, 93.5484%)
5 -> 6,125  (64.3836%, 76.5784%)
6 -> 5,125  (64.3836%, 72.7273%)
125 -> 5,6  (64.3836%, 98.1723%)
5,6 -> 125  (64.3836%, 78.3333%)
5,125 -> 6  (64.3836%, 99.4709%)
6,125 -> 5  (64.3836%, 99.7347%)
3 -> 125  (64.2123%, 72.6744%)
125 -> 3  (64.2123%, 97.9112%)
5 -> 195  (64.2123%, 76.3747%)
195 -> 5  (64.2123%, 98.1675%)
6 -> 195  (64.2123%, 72.5338%)
195 -> 6  (64.2123%, 98.1675%)
45 -> 192  (64.2123%, 92.5926%)
192 -> 45  (64.2123%, 85.6164%)
3 -> 33,192  (64.2123%, 72.6744%)
33 -> 3,192  (64.2123%, 91.9118%)
192 -> 3,33  (64.2123%, 85.6164%)
3,33 -> 192  (64.2123%, 93.5162%)
3,192 -> 33  (64.2123%, 88.6525%)
33,192 -> 3  (64.2123%, 99.2063%)
3 -> 91,192,197  (64.2123%, 72.6744%)
91 -> 3,192,197  (64.2123%, 90.799%)
192 -> 3,91,197  (64.2123%, 85.6164%)
197 -> 3,91,192  (64.2123%, 85.2273%)
3,91 -> 192,197  (64.2123%, 95.6633%)
3,192 -> 91,197  (64.2123%, 88.6525%)
3,197 -> 91,192  (64.2123%, 88.0282%)
91,192 -> 3,197  (64.2123%, 95.4198%)
91,197 -> 3,192  (64.2123%, 96.8992%)
192,197 -> 3,91  (64.2123%, 93.0521%)
