Rule   (Support, Confidence) 
3 -> 6  (87.2667%, 94.0828%)
6 -> 3  (87.2667%, 98.4215%)
3 -> 5  (82.9308%, 89.4083%)
5 -> 3  (82.9308%, 98.2125%)
5 -> 6  (82.7387%, 97.9851%)
6 -> 5  (82.7387%, 93.3148%)
3 -> 5,6  (81.7234%, 88.1065%)
5 -> 3,6  (81.7234%, 96.7826%)
6 -> 3,5  (81.7234%, 92.1696%)
3,5 -> 6  (81.7234%, 98.544%)
3,6 -> 5  (81.7234%, 93.6478%)
5,6 -> 3  (81.7234%, 98.7728%)
3 -> 197  (79.0615%, 85.2367%)
197 -> 3  (79.0615%, 99.6196%)
3 -> 192  (78.9517%, 85.1183%)
192 -> 3  (78.9517%, 98.832%)
6 -> 197  (78.8694%, 88.9508%)
197 -> 6  (78.8694%, 99.3776%)
5 -> 197  (78.8145%, 93.3377%)
197 -> 5  (78.8145%, 99.3084%)
3 -> 6,197  (78.5675%, 84.7041%)
6 -> 3,197  (78.5675%, 88.6103%)
197 -> 3,6  (78.5675%, 98.9972%)
3,6 -> 197  (78.5675%, 90.0314%)
3,197 -> 6  (78.5675%, 99.3752%)
6,197 -> 3  (78.5675%, 99.6173%)
5 -> 6,197  (78.5675%, 93.0452%)
6 -> 5,197  (78.5675%, 88.6103%)
197 -> 5,6  (78.5675%, 98.9972%)
5,6 -> 197  (78.5675%, 94.9585%)
5,197 -> 6  (78.5675%, 99.6866%)
6,197 -> 5  (78.5675%, 99.6173%)
3 -> 5,197  (78.5401%, 84.6746%)
5 -> 3,197  (78.5401%, 93.0127%)
197 -> 3,5  (78.5401%, 98.9627%)
3,5 -> 197  (78.5401%, 94.7055%)
3,197 -> 5  (78.5401%, 99.3405%)
5,197 -> 3  (78.5401%, 99.6518%)
6 -> 192  (78.4303%, 88.4556%)
192 -> 6  (78.4303%, 98.1793%)
3 -> 6,192  (78.3205%, 84.4379%)
6 -> 3,192  (78.3205%, 88.3318%)
192 -> 3,6  (78.3205%, 98.0419%)
3,6 -> 192  (78.3205%, 89.7484%)
3,192 -> 6  (78.3205%, 99.2006%)
6,192 -> 3  (78.3205%, 99.86%)
3 -> 5,6,197  (78.2931%, 84.4083%)
5 -> 3,6,197  (78.2931%, 92.7202%)
6 -> 3,5,197  (78.2931%, 88.3008%)
197 -> 3,5,6  (78.2931%, 98.6515%)
3,5 -> 6,197  (78.2931%, 94.4077%)
3,6 -> 5,197  (78.2931%, 89.717%)
3,197 -> 5,6  (78.2931%, 99.0281%)
5,6 -> 3,197  (78.2931%, 94.6269%)
5,197 -> 3,6  (78.2931%, 99.3384%)
6,197 -> 3,5  (78.2931%, 99.2693%)
3,5,6 -> 197  (78.2931%, 95.8026%)
3,5,197 -> 6  (78.2931%, 99.6855%)
3,6,197 -> 5  (78.2931%, 99.6507%)
5,6,197 -> 3  (78.2931%, 99.6507%)
5 -> 192  (77.7717%, 92.1027%)
192 -> 5  (77.7717%, 97.3549%)
3 -> 91  (77.6345%, 83.6982%)
91 -> 3  (77.6345%, 99.02%)
3 -> 5,192  (77.6345%, 83.6982%)
5 -> 3,192  (77.6345%, 91.9402%)
192 -> 3,5  (77.6345%, 97.1831%)
3,5 -> 192  (77.6345%, 93.6135%)
3,192 -> 5  (77.6345%, 98.3316%)
5,192 -> 3  (77.6345%, 99.8236%)
